gwcode,gwc,country_name,start,end,microstate
666,ISR,Israel,14/05/1948,31/12/9999,FALSE
670,SAU,Saudi Arabia,23/09/1932,31/12/9999,FALSE
678,YEM,Yemen (Arab Republic of Yemen),30/10/1918,31/12/9999,FALSE
680,YPR,"Yemen, People's Republic of",30/11/1967,21/05/1990,FALSE
690,KUW,Kuwait,19/06/1961,31/12/9999,FALSE
692,BAH,Bahrain,15/08/1971,31/12/9999,FALSE
694,QAT,Qatar,03/09/1971,31/12/9999,FALSE
696,UAE,United Arab Emirates,02/12/1971,31/12/9999,FALSE
698,OMA,Oman,1816-01-01,31/12/9999,FALSE
700,AFG,Afghanistan,1816-01-01,1888-12-30,FALSE
700,AFG,Afghanistan,01/05/1919,31/12/9999,FALSE
701,TKM,Turkmenistan,27/10/1991,31/12/9999,FALSE
702,TAJ,Tajikistan,09/09/1991,31/12/9999,FALSE
703,KYR,Kyrgyz Republic,31/08/1991,31/12/9999,FALSE
704,UZB,Uzbekistan,31/08/1991,31/12/9999,FALSE
705,KZK,Kazakhstan,16/12/1991,31/12/9999,FALSE
710,CHN,China,1816-01-01,31/12/9999,FALSE
711,TBT,Tibet,01/01/1913,01/10/1950,FALSE
712,MON,Mongolia,13/03/1921,31/12/9999,FALSE
713,TAW,Taiwan,08/12/1949,31/12/9999,FALSE
730,KOR,Korea,1816-01-01,22/08/1910,FALSE
731,PRK,"Korea, People's Republic of",09/09/1948,31/12/9999,FALSE
732,ROK,"Korea, Republic of",15/08/1948,31/12/9999,FALSE
740,JPN,Japan,1816-01-01,31/12/9999,FALSE
750,IND,India,15/08/1947,31/12/9999,FALSE
760,BHU,Bhutan,01/01/1949,31/12/9999,FALSE
770,PAK,Pakistan,14/08/1947,31/12/9999,FALSE
771,BNG,Bangladesh,16/12/1971,31/12/9999,FALSE
775,MYA,Myanmar (Burma),1816-01-01,1885-12-31,FALSE
775,MYA,Myanmar (Burma),04/01/1948,31/12/9999,FALSE
780,SRI,Sri Lanka (Ceylon),04/02/1948,31/12/9999,FALSE
781,MAD,Maldives,26/05/1965,31/12/9999,FALSE
790,NEP,Nepal,1816-01-01,31/12/9999,FALSE
800,THI,Thailand,1816-01-01,31/12/9999,FALSE
811,CAM,Cambodia (Kampuchea),09/11/1953,31/12/9999,FALSE
812,LAO,Laos,01/05/1954,31/12/9999,FALSE
815,VNM,Vietnam (Annam/Cochin China/Tonkin),1816-01-01,1893-01-01,FALSE
816,DRV,"Vietnam, Democratic Republic of",01/05/1954,31/12/9999,FALSE
817,RVN,"Vietnam, Republic of",01/05/1954,30/04/1975,FALSE
820,MAL,Malaysia,31/08/1957,31/12/9999,FALSE
830,SIN,Singapore,09/08/1965,31/12/9999,FALSE
835,BRU,Brunei,01/01/1984,31/12/9999,FALSE
840,PHI,Philippines,04/07/1946,31/12/9999,FALSE
850,INS,Indonesia,17/08/1945,31/12/9999,FALSE
860,ETM,East Timor,20/05/2002,31/12/9999,FALSE
900,AUL,Australia,01/01/1901,31/12/9999,FALSE
910,PNG,Papua New Guinea,16/09/1975,31/12/9999,FALSE
920,NEW,New Zealand,01/09/1907,31/12/9999,FALSE
940,SOL,Solomon Islands,07/07/1978,31/12/9999,FALSE
950,FJI,Fiji,10/10/1970,31/12/9999,FALSE
54,DMA,Dominica,03/11/1978,31/12/9999,TRUE
55,GRN,Grenada,07/02/1974,31/12/9999,TRUE
56,SLU,Saint Lucia,22/02/1979,31/12/9999,TRUE
